TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,KNN_SCORE
0,,2544,41,67,0,T,1,35,H,M,4,1,B,0,4,2486,425,76,17060,0,22,38,32,0,0,A,2,0.286,26.5,0.2,29.5,6,2,13,21,54,189,8,23.63,35,40,5,25,11,26,13,44,23.63,4,0
0,,2561,89,44,0,T,1,34,U,M,7,0,B,0,2,1144,408,82,18291,5,44,30,30,1,0,A,1,0.105,12.5,0.111,10.0,2,1,18,28,69,116,11,10.55,10,15,5,15,11,25,18,86,10.55,6,0
0,,2567,17,56,0,S,1,15,U,F,7,1,M,20,,1125,278,1,32761,0,36,30,39,1,0,F,1,0.6,17.67,1.0,21.5,3,2,12,11,29,71,4,17.75,13,23,10,18,10,24,11,20,17.75,3,0
1,5,2583,77,75,0,S,1,12,H,F,5,1,B,2,,1085,489,84,20850,0,32,26,24,1,0,A,4,0.45,4.78,0.556,4.6,9,5,14,25,62,76,16,4.75,2,5,3,5,10,24,14,75,4.75,8,0
1,20,2586,19,55,0,S,1,15,H,M,5,1,B,240,,916,338,35,19463,0,19,36,18,0,0,F,1,0.25,20.0,0.5,20.0,1,1,18,10,26,60,3,20.0,10,25,15,25,9,24,6,19,20.0,2,0
0,,2593,29,55,0,T,1,35,H,F,7,1,B,2,,654,406,86,15470,0,39,45,24,0,0,N,1,0.2,11.5,0.5,11.5,2,2,19,6,16,23,2,11.5,17,20,3,3,3,7,19,24,11.5,2,0
1,28,2596,29,,0,?,?, .,H,M,5,1,B,0,,505,205,65,9545,0,0,0,0,0,0,N,1,0.571,18.88,0.667,15.0,4,2,6,10,30,111,6,18.42,15,25,10,21,8,22,6,23,18.42,4,0
0,,2599,17,72,0,C,1,24,U,F,5,1,M,26,,886,521,95,17926,0,41,13,32,1,0,F,1,0.4,12.5,1.0,12.5,2,2,15,10,25,41,3,13.67,6,16,10,16,9,21,8,19,13.67,2,0
0,,2609,101,66,0,T,2,36,H,M,4,0,P,0,5,600,257,75,12433,0,32,21,43,1,4,A,1,0.133,8.5,0.333,8.5,2,2,18,26,73,165,20,8.25,7,12,5,5,9,21,18,90,8.25,10,0
0,,2615,113,,0,S,1,11,H,F,5,0,P,0,8,905,474,72,19298,0,25,16,36,0,0,A,1,0.136,23.33,0.091,25.0,3,1,18,29,68,167,8,20.88,15,25,10,25,10,25,6,105,20.88,4,0
0,,2623,17,69,0,U,4,10,H,F,1,1,B,10,,394,182,44,11277,0,21,72,0,1,0,N,2,0.333,28.33,0.4,30.0,3,2,6,14,35,110,4,27.5,10,35,25,35,11,26,6,21,27.5,2,0
0,,2628,17,87,0,S,1,14,U,F,5,1,P,0,,4474,514,76,25219,0,13,99,0,0,0,N,2,0.5,11.67,0.667,10.0,3,2,16,12,26,35,3,11.67,10,15,5,15,11,22,16,18,11.67,2,0
